,code,date,Next1month,ndcg@1,ndcg@2,ndcg@3,ndcg@5
151517,202011,2018/2/11,10.71904838,0.5111889,0.5478637,0.49908948,0.47426835
151518,960,2018/2/11,14.42986882,0.70193565,0.8027409,0.7695125,0.5524937
151519,1126,2018/2/11,10.77654517,0.39786246,0.4807357,0.4401438,0.2890375
151520,2305,2018/2/11,5.648267009,0.009189522,-0.005167734,-0.016683832,0.06394055
151521,240009,2018/2/11,7.603254068,0.44515386,0.4739887,0.45382836,0.35144594
151522,519018,2018/2/11,9.019428939,0.71924555,0.74587744,0.71420753,0.6588194
151523,660005,2018/2/11,5.10175068,0.44170713,0.47326216,0.4402694,0.3716106
151524,1626,2018/2/11,6.861198738,0.8883998,0.97177804,0.9564207,0.76713485
151525,210001,2018/2/11,1.96073515,1.0644671,1.0519156,1.0339037,0.813192
151526,206009,2018/2/11,13.28743701,0.6772138,0.7319025,0.6936034,0.5565589
151527,110015,2018/2/11,10.12057416,0.8718458,0.9126503,0.87031466,0.81543404
151528,110005,2018/2/11,7.40939205,0.87172675,0.94223183,0.8938064,0.75503594
151529,481010,2018/2/11,10.79691517,0.30350286,0.34627128,0.33311668,0.25136384
151530,161219,2018/2/11,9.726993978,0.78534013,0.82971436,0.7762071,0.676633
151531,294,2018/2/11,10.27503892,0.70722383,0.7584877,0.73343086,0.6802004
151532,519979,2018/2/11,6.23501199,0.6834019,0.6993165,0.6723815,0.66257733
151533,971,2018/2/11,9.375,0.24271661,0.3342601,0.315755,0.19998875
151534,591,2018/2/11,0.730411687,0.6417861,0.6637431,0.66276395,0.5411044
151535,161903,2018/2/11,9.442982058,0.5978332,0.62127304,0.60451335,0.5367326
151536,270025,2018/2/11,8.61108297,0.3837068,0.42696154,0.3778707,0.39375183
151537,457,2018/2/11,13.46672662,0.859342,0.9620841,0.88303065,0.7995035
151538,1985,2018/2/11,14.31962025,0.6085002,0.66185194,0.6325322,0.5689687
151539,519668,2018/2/11,5.650288693,0.86646706,0.9237136,0.86903197,0.72664505
151540,110011,2018/2/11,10.81035111,0.9335975,0.9491608,0.91469204,0.87814707
151541,1628,2018/2/11,8.37628866,0.56884056,0.61868495,0.5970764,0.4606585
151542,161706,2018/2/11,4.055170294,0.6586309,0.7113062,0.6726678,0.588417
151543,290011,2018/2/11,12.22359083,0.3093791,0.3607445,0.34402448,0.25669977
151544,206007,2018/2/11,9.290617849,0.82524514,0.86238897,0.84691477,0.78757906
151545,180013,2018/2/11,8.674676861,0.7919369,0.8219648,0.7723764,0.7229551
151546,1482,2018/2/11,12.5,0.7870686,0.8717531,0.8365304,0.62506145
151547,1256,2018/2/11,12.67004535,0.7072059,0.77460647,0.73562026,0.5776098
151548,1043,2018/2/11,10.52123552,0.8356854,0.9053844,0.89125377,0.68387544
151549,570005,2018/2/11,11.32416285,1.0434762,1.0726106,1.0116717,0.9393957
151550,481004,2018/2/11,6.915076796,0.22224872,0.24208984,0.26362878,0.1807398
151551,570008,2018/2/11,13.05265674,0.7973835,0.8556793,0.8032663,0.7305316
151552,110010,2018/2/11,9.231722429,0.55654526,0.5610921,0.5505603,0.55964166
151553,398011,2018/2/11,8.879117488,0.56747484,0.61554307,0.5966595,0.48769534
151554,398041,2018/2/11,22.53771074,0.50797784,0.6162742,0.57433134,0.36966804
151555,519665,2018/2/11,7.211079274,0.7900402,0.8229716,0.8009578,0.7677778
151556,379010,2018/2/11,19.2393273,0.8178414,0.9373592,0.87527084,0.69066936
151557,884,2018/2/11,13.28320802,0.8932981,0.972358,0.95409936,0.7502675
151558,50026,2018/2/11,16.11060626,0.64698964,0.7162998,0.6919641,0.520209
151559,240022,2018/2/11,2.92657088,0.7675446,0.81561893,0.79968464,0.76261747
151560,418,2018/2/11,12.44582043,0.6730666,0.7644286,0.72015566,0.6181527
151561,1663,2018/2/11,4.360465116,0.71028477,0.750689,0.72974586,0.6450873
151562,180012,2018/2/11,5.593810158,0.860949,0.8889663,0.8485245,0.85194486
151563,522,2018/2/11,17.07147814,0.696319,0.7865719,0.7216466,0.6038575
151564,2168,2018/2/11,14.4200627,0.69946104,0.8181039,0.76922727,0.5451759
151565,180010,2018/2/11,8.137280377,0.7405014,0.7745024,0.7489499,0.69399756
