,code,date,Next1quar,ndcg@1,ndcg@2,ndcg@3,ndcg@5
147172,711,2017/12/17,7.222222222,2.336195,0.5305896,0.53631526,0.52108824
147173,90004,2017/12/17,-0.916053275,0.98176205,0.7218949,0.55420786,0.7220481
147174,360016,2017/12/17,-2.742073693,0.4325395,0.41746998,0.37572095,0.40386936
147175,162607,2017/12/17,4.331066656,0.85677797,0.58841527,0.48426613,0.587076
147176,696,2017/12/17,-5.439330544,2.760031,0.4577371,0.47212756,0.44963175
147177,202009,2017/12/17,1.77631117,1.1923065,0.39158532,0.37769327,0.3798395
147178,586,2017/12/17,3.188602442,2.7239847,0.31756982,0.3609869,0.29867592
147179,549,2017/12/17,-0.493150685,2.8553696,0.50072914,0.48443753,0.4936683
147180,398061,2017/12/17,-2.785017274,0.90494317,0.6064235,0.5254379,0.6004447
147181,690005,2017/12/17,1.303116147,-0.26192176,0.6016897,0.50023335,0.5995686
147182,1475,2017/12/17,-7.53655793,1.3726907,0.382053,0.3834577,0.37486115
147183,519664,2017/12/17,1.88172043,1.4627512,0.64892113,0.6496897,0.6446657
147184,290011,2017/12/17,-1.834526734,0.7346389,0.37958807,0.38328117,0.36933425
147185,161611,2017/12/17,7.612359551,0.562538,0.36760288,0.39337963,0.35254064
147186,165310,2017/12/17,3.927755413,0.42325824,0.7493345,0.5827602,0.76253057
147187,160603,2017/12/17,-2.230192102,0.6933457,0.40873075,0.41163018,0.39823133
147188,409,2017/12/17,-3.569405099,2.1499925,0.57408285,0.51518714,0.5727629
147189,160512,2017/12/17,-3.253038674,0.47017935,0.4381505,0.44232854,0.43678054
147190,40011,2017/12/17,2.736342981,0.6915675,0.8192539,0.63799495,0.83681303
147191,1163,2017/12/17,0.175746924,-0.049551472,0.5385027,0.4791437,0.53570914
147192,550008,2017/12/17,5.347638406,0.982654,0.701141,0.6154532,0.70206
147193,519005,2017/12/17,13.9975967,3.109002,0.25614944,0.29857907,0.22644283
147194,288002,2017/12/17,1.561011557,1.0432233,0.59217536,0.5011388,0.6006213
147195,257030,2017/12/17,5.494134526,0.44111627,0.62792754,0.48759586,0.63068086
147196,671010,2017/12/17,-1.91011236,0.95565677,0.47142822,0.4043309,0.46973154
147197,309,2017/12/17,-4.105263158,1.3646933,0.64598864,0.52866197,0.6448753
147198,213002,2017/12/17,-0.248601616,0.05938243,0.36090416,0.32017916,0.34360448
147199,180013,2017/12/17,-1.186189958,0.5572287,0.6343167,0.57191515,0.6283501
147200,1736,2017/12/17,4.074816299,0.77514446,0.78409004,0.5856577,0.7981145
147201,1042,2017/12/17,-8.519553073,1.6769855,0.38641307,0.4383591,0.38144183
147202,590008,2017/12/17,10.19259259,2.2436848,0.11609981,0.26163223,0.08746417
147203,240010,2017/12/17,0.523596761,0.9747182,0.3983378,0.40122142,0.39436606
147204,519110,2017/12/17,-0.919513473,2.8771656,0.31444627,0.38255426,0.29322243
147205,1643,2017/12/17,-3.61328125,0.14631084,0.44960648,0.39750013,0.4443604
147206,940,2017/12/17,-4.642857143,0.11421127,0.46131307,0.4466213,0.4554589
147207,570007,2017/12/17,-0.197368421,1.2299004,0.6056374,0.5988745,0.6016568
147208,1277,2017/12/17,2.570379437,0.8960135,0.48471153,0.42530942,0.48940137
147209,20005,2017/12/17,2.64278077,-0.05126113,0.61302865,0.5474924,0.609413
147210,1915,2017/12/17,-3.451676529,0.5124964,0.4770654,0.42862356,0.45867503
147211,965,2017/12/17,-3.058900098,1.1186118,0.40288326,0.43688044,0.39134344
147212,1043,2017/12/17,2.831050228,0.72820294,0.6457875,0.51256126,0.6512529
147213,519013,2017/12/17,-10.09916185,-0.20038322,0.31020927,0.28144035,0.30929768
147214,50009,2017/12/17,2.243140397,1.3795365,0.2500708,0.29693216,0.23185112
147215,1663,2017/12/17,-1.197053407,0.89264554,0.4531473,0.4880448,0.4433792
147216,398001,2017/12/17,-2.405371114,1.0760614,0.4242373,0.39926627,0.40813297
147217,519069,2017/12/17,5.405405405,0.79286706,0.72716224,0.5956993,0.7394863
147218,217001,2017/12/17,0.918889461,-0.8913679,0.48794666,0.43476737,0.47960955
147219,173,2017/12/17,8.963238331,1.6581304,0.5528184,0.5606715,0.5443312
147220,110011,2017/12/17,6.19026372,0.88116,0.81780434,0.6398888,0.83063745
147221,377530,2017/12/17,2.782687514,1.9504308,0.5016523,0.44498152,0.49229416
147222,11,2017/12/17,5.132660736,1.6483902,0.6570566,0.6610885,0.6563935
147223,379010,2017/12/17,4.952354774,2.597367,0.41360122,0.39033136,0.39943647
147224,70011,2017/12/17,-1.18808123,1.1304939,0.44922867,0.46454808,0.43889865
147225,570008,2017/12/17,3.024686782,1.204931,0.6133726,0.53003967,0.6119466
147226,217010,2017/12/17,1.125929619,-0.37980115,0.40214786,0.37143493,0.39391148
147227,320016,2017/12/17,-1.574307305,1.812094,0.35246962,0.3702743,0.3436412
